Fluggesellschaft	Flugnummer	Herkunft	Verspaetung	Standplatz	Passagiere	Landebahn	Transfergepaeckstuecke	Lokalpassagiere	Transferpassagiere	Terminal	Flugzeugtyp	Sitzplaetze	Auslastung
IB	3476	MAD	0	D03	109	28	0	109	0	2	319	141	0.773049645
HG	8500	VIE	23	D17	63	28	0	63	0	2	319	150	0.42
AB	8456	HAM	3	D12	131	28	0	131	0	2	320	174	0.752873563
KL	1969	AMS	2	D01	84	28	0	84	0	2	EMJ	100	0.84
LX	455	LCY	-6	I93	60	28	0	60	0	2	ARJ	93	0.64516129
AB	8172	DUS	6	C60	74	28	0	74	0	2	320	174	0.425287356
AB	8495	BDS	24	C57	116	28	0	116	0	2	320	174	0.666666667
AB	9749	PMI	5	C56	138	28	0	138	0	2	320	174	0.793103448
TP	928	LIS	-13	A09	59	28	1	57	2	1	319	132	0.446969697
WK	445	VAR	42	E44	133	28	0	133	0	2	320	160	0.83125
LX	339	LHR	20	E50	132	28	6	127	5	2	320	160	0.825
AB	8174	TXL	40	D14	115	28	0	114	1	2	319	150	0.766666667
WK	349	HER	-4	A07	82	28	2	80	2	1	320	160	0.5125
